MSB	PRG	LSB	NME	ELC
000	000	000	GrandPno	1
000	001	000	BritePno	1
000	002	000	EGrndPno	2
000	003	000	HnkyTonk	2
000	004	000	ElPiano1	2
000	005	000	ElPiano2	2
000	006	000	Hrpschrd	1
000	007	000	Clavinet	2
000	008	000	Celesta	1
000	009	000	Glocken	1
000	010	000	MusicBox	2
000	011	000	Vibrafon	1
000	012	000	Marimba	1
000	013	000	Xylophon	1
000	014	000	TubulBel	1
000	015	000	Dulcimer	1
000	016	000	DrawOrgn	1
000	017	000	PercOrgn	1
000	018	000	RockOrgn	2
000	019	000	ChrchOrg	2
000	020	000	ReedOrgn	1
000	021	000	Acordion	2
000	022	000	Harmnica	1
000	023	000	TangoAcd	2
000	024	000	NylonGtr	1
000	025	000	SteelGtr	1
000	026	000	Jazz Gtr	1
000	027	000	CleanGtr	1
000	028	000	MutedGtr	1
000	029	000	OvrDrvGt	1
000	030	000	Dist.Gtr	1
000	031	000	GtrHarmo	1
000	032	000	Aco.Bass	1
000	033	000	FngrBass	1
000	034	000	PickBass	1
000	035	000	Fretless	1
000	036	000	SlapBass	1
000	037	000	SlapBas2	1
000	038	000	SynBass1	1
000	039	000	SynBass2	2
000	040	000	Violin	1
000	041	000	Viola	1
000	042	000	Cello	1
000	043	000	Contrbas	1
000	044	000	Trem.Str	1
000	045	000	Pizz.Str	1
000	046	000	Harp	1
000	047	000	Timpani	1
000	048	000	Strings1	1
000	049	000	Strings2	1
000	050	000	Syn.Str1	2
000	051	000	Syn.Str2	2
000	052	000	ChoirAah	1
000	053	000	VoiceOoh	1
000	054	000	SynVoice	1
000	055	000	Orch.Hit	2
000	056	000	Trumpet	1
000	057	000	Trombone	1
000	058	000	Tuba	1
000	059	000	MutedTrp	1
000	060	000	FrchHorn	2
000	061	000	BrasSect	1
000	062	000	SynBras1	2
000	063	000	SynBras2	1
000	064	000	SprnoSax	1
000	065	000	Alto Sax	1
000	066	000	TenorSax	1
000	067	000	Bari.Sax	1
000	068	000	Oboe	2
000	069	000	Eng.Horn	1
000	070	000	Bassoon	1
000	071	000	Clarinet	1
000	072	000	Piccolo	1
000	073	000	Flute	1
000	074	000	Recorder	1
000	075	000	PanFlute	1
000	076	000	BotlBlow	2
000	077	000	Shakhchi	2
000	078	000	Whistle	1
000	079	000	Ocarina	1
000	080	000	SquareLd	2
000	081	000	Saw Lead	2
000	082	000	CaliopLd	2
000	083	000	Chiff Ld	2
000	084	000	CharanLd	2
000	085	000	Voice Ld	2
000	086	000	Fifth Ld	2
000	087	000	Bass&Ld	2
000	088	000	NewAgePd	2
000	089	000	Warm Pad	2
000	090	000	PolySyPd	2
000	091	000	ChoirPad	2
000	092	000	BowedPad	2
000	093	000	MetalPad	2
000	094	000	Halo Pad	2
000	095	000	SweepPad	2
000	096	000	Ice Rain	2
000	097	000	SoundTrk	2
000	098	000	Crystal	2
000	099	000	Atmosphr	2
000	100	000	Bright	2
000	101	000	Goblins	2
000	102	000	Echoes	2
000	103	000	Sci-Fi	2
000	104	000	Sitar	1
000	105	000	Banjo	1
000	106	000	Shamisen	1
000	107	000	Koto	1
000	108	000	Kalimba	1
000	109	000	Bagpipe	2
000	110	000	Fiddle	1
000	111	000	Shanai	1
000	112	000	TnklBell	2
000	113	000	Agogo	2
000	114	000	SteelDrm	2
000	115	000	Woodblok	1
000	116	000	Taiko	1
000	117	000	MelodTom	2
000	118	000	Syn Drum	1
000	119	000	RevCymbl	1
000	120	000	FretNoiz	2
000	121	000	BrthNoiz	2
000	122	000	Seashore	2
000	123	000	Tweet	2
000	124	000	Telphone	1
000	125	000	Helicptr	1
000	126	000	Applause	1
000	127	000	Gunshot	1
120	000	000	Standard	16
120	001	000	Standrd2	16
120	002	000	Standrd3	16
120	008	000	Room Kit	16
120	009	000	HipHopKt	16
120	010	000	JungleKt	16
120	011	000	TechnoKt	16
120	016	000	PowerKit	16
120	024	000	Electro	16
120	025	000	AnalogKt	16
120	026	000	DanceKit	16
