MSB	LSB	PRG	NME
67	0	0	Turn Tbl
67	0	16	DX-Clave
67	0	17	SideStck
67	0	18	Snapie
67	0	19	Deep Snr
67	0	20	SumohDrm
67	0	32	DX-Wave
67	0	33	Image  3
67	0	48	DX-Piyo1
67	0	49	DX-Inct1
67	0	50	DX-Grwl1
67	0	51	DX-Grwl2
67	0	52	Help me!
67	0	53	DX-Wolf
67	0	54	JnglBell
67	0	55	DX-Inct2
67	0	64	DX-Ring1
67	0	65	DX-TlCal
67	0	66	DX-TlBsy
67	0	67	DX-TlTne
67	0	68	DX-Ring2
67	0	69	DX-BigBn
67	0	70	IronEch1
67	0	71	IronEch2
67	0	72	DX-RvCy1
67	0	73	DX-RvCy2
67	0	80	DX-Hlcpt
67	0	81	DX-Train
67	0	82	Take Off
67	0	83	Mobile 1
67	0	84	MotrCycl
67	0	85	DX-Ship
67	0	86	Closing
67	0	87	Scrchers
67	0	88	MM-Fall
67	0	89	DX-Flght
67	0	90	MobyDick
67	0	91	OutLimit
67	0	96	Paranoir
67	0	97	CaGhstLn
67	0	98	MM-Shk 2
67	0	99	Image 1
67	0	100	Image 2
67	0	101	Tenjiku
67	0	102	Metal
67	0	103	Flxatone
67	0	104	Spoon
67	0	112	WhikShot
67	0	113	PercShot
67	0	114	Crasher
67	0	115	Laser 1
67	0	116	Laser 2
67	0	117	Laser 3
67	0	118	Stopper
67	0	119	Wallop 1
67	0	120	Wallop 2
67	0	121	StreetSD
67	0	122	ManEater
67	0	123	SmbaWhsl
67	0	124	Refs Wsl
67	0	125	Triangl1
67	0	126	Triangl2
67	0	127	SlighBel
99	0	0	FrtePno1
99	0	1	BritPno1
99	0	2	DXCP-70
99	0	3	DX-Rgtim
99	0	4	DX-Road1
99	0	5	E.Pno 1
99	0	6	Harpsi 1
99	0	7	MM-Clav1
99	0	8	Celesta1
99	0	9	Glocken1
99	0	10	MusicBx1
99	0	11	DX-Vibe1
99	0	12	DX-Mrmb1
99	0	13	DX-Xylo1
99	0	14	Carillon
99	0	15	DX-Dlcm1
99	0	16	FullOrgn
99	0	17	PrcOrg 1
99	0	18	RckOrg 1
99	0	19	DXChrch1
99	0	20	PufOrgn1
99	0	21	DX-Acrd1
99	0	22	DX-Hmnc1
99	0	23	DX-TngAc
99	0	24	DX-AcGt1
99	0	25	DX-PkGt1
99	0	26	DX-JzGt1
99	0	27	DX-ClGt1
99	0	28	DX-MtGt1
99	0	29	DX-ODGt
99	0	30	Fuzz Gtr
99	0	32	DX-WdBa1
99	0	33	DX-FgBa1
99	0	34	DX-PkBa1
99	0	35	FrtlsBa1
99	0	36	RundWund
99	0	37	DigiBas1
99	0	38	DX-SyBa1
99	0	39	DX-Bass1
99	0	40	DX-Vln 1
99	0	41	DX-Vla 1
99	0	42	DX-Celo1
99	0	45	DX-Pizz1
99	0	46	LuteHarp
99	0	47	DX-Tmpni
99	0	48	Mid Str1
99	0	49	WarmStr1
99	0	50	DX-SySt1
99	0	51	DX-SySt6
99	0	52	DX-Cho 1
99	0	54	DX-Cho 6
99	0	56	DX-Trpt1
99	0	57	DX-Trb 1
99	0	58	DX-Tuba1
99	0	60	DX-Horn
99	0	61	DX-BrSc1
99	0	62	CS80-Br1
99	0	63	ChorsBrs
99	0	64	DxSprnSx
99	0	65	DxAltoSx
99	0	66	DxTenrSx
99	0	68	Oboe 1
99	0	69	Eng.Horn
99	0	70	Bassoon
99	0	71	VbrtClar
99	0	72	Piccolo1
99	0	73	DX-Flt 1
99	0	74	Recordr1
99	0	75	DX-PnFl1
99	0	76	Fuhppps!
99	0	78	Whistle1
99	0	79	DX-Ocrn1
99	0	80	DX-Squar
99	0	81	DXSyLd 1
99	0	82	CaliopL1
99	0	83	BrsLead1
99	0	84	Au Campo
99	0	85	DX-VceLd
99	0	86	Fifths 1
99	0	87	LeadLine
99	0	88	HyperSqr
99	0	89	Film Pad
99	0	90	BritePad
99	0	91	DX-ChPd1
99	0	92	BowPad 1
99	0	93	DX-MtPd1
99	0	94	GrngePad
99	0	95	SweepPd1
99	0	97	FluvPush
99	0	98	MtalGlkn
99	0	99	PrdsGlok
99	0	100	DX-Brit1
99	0	101	Fmilters
99	0	102	WaterLog
99	0	103	DX-ScFi1
99	0	104	DX-Sitr1
99	0	105	DX-Banjo
99	0	106	Shamisn1
99	0	107	DX-Koto
99	0	108	DX-Klmb1
99	0	109	DX-BgPip
99	0	110	DX-Fidle
99	0	111	ScchTone
99	0	112	HandBel1
99	0	113	DX-Aggo1
99	0	114	StlDrum1
99	0	115	Block
99	0	116	Janpany
99	0	118	MM-SDr 1
99	64	0	FrtePno2
99	64	1	BritPno2
99	64	2	El.Gnd 1
99	64	3	ToyPno 1
99	64	4	BigWurlt
99	64	5	ClrE.Pno
99	64	6	Cembalim
99	64	7	MM-Clav2
99	64	8	Celesta2
99	64	9	Glocken2
99	64	11	MM-Vibe1
99	64	12	BritMrmb
99	64	13	DX-Xylo2
99	64	14	DX-Bel 1
99	64	16	DrwOrg 1
99	64	17	PrcOrg 2
99	64	18	RckOrg 2
99	64	19	PipeOrg1
99	64	20	SoftRdOr
99	64	21	DX-Acrd2
99	64	22	DX-Hmnc2
99	64	24	DX-AcGt2
99	64	25	DX-PkGt2
99	64	26	DX-JzGt2
99	64	27	DX-ClGt2
99	64	28	DX-MtGt2
99	64	30	DX-DsGt1
99	64	32	DX-WdBa2
99	64	33	DX-FgBa2
99	64	34	PickPluk
99	64	35	FrtlsBa2
99	64	36	SlapStrg
99	64	37	SuprBas1
99	64	38	DX-SyBa2
99	64	39	Remark
99	64	40	DX-Vln 2
99	64	41	DX-Vla 2
99	64	42	Rosin
99	64	45	Pizz Str
99	64	46	Syn Harp
99	64	48	Mid Str2
99	64	49	Low Str1
99	64	50	Anna Str
99	64	51	DX-SySt7
99	64	52	DX-Cho 2
99	64	54	DX-Cho 7
99	64	56	DX-Trpt2
99	64	57	DX-Trb 2
99	64	58	DX-Tuba2
99	64	60	MelwHrn1
99	64	61	DX-BrSc2
99	64	62	CS80-Br2
99	64	63	SyntiBrs
99	64	66	DX-Tsax
99	64	68	Oboe 2
99	64	71	SlowClar
99	64	72	Piccolo2
99	64	73	DX-Flt 2
99	64	74	Recordr2
99	64	75	Forest99
99	64	76	DX-Botle
99	64	79	DX-Ocrn2
99	64	80	DX-SLd 1
99	64	81	DXSyLd 2
99	64	82	CaliopL2
99	64	83	DX-WahLd
99	64	84	LeadPhon
99	64	85	Giovanni
99	64	86	Fifths 2
99	64	87	BassLead
99	64	88	Cho+Mrmb
99	64	89	DX-SawPd
99	64	90	SyBr Pd1
99	64	91	Anna Pad
99	64	92	BowPad 2
99	64	93	InitEnsm
99	64	94	StacHevn
99	64	95	Evlution
99	64	98	BellPluk
99	64	99	Brassy
99	64	100	DX-Brit2
99	64	103	DX-ScFi2
99	64	104	DX-Sitr2
99	64	106	Shamisn2
99	64	107	Koto+Flt
99	64	108	DX-Klmb2
99	64	112	HandBel2
99	64	113	DX-Aggo2
99	64	114	StlDrum2
99	64	116	SoftHead
99	64	118	MM-SDr 2
99	65	0	MM-Pno 1
99	65	1	BritPno3
99	65	2	El.Gnd 2
99	65	3	ToyPno 2
99	65	4	WurliEP1
99	65	5	E.Pno 2
99	65	6	AD1600s1
99	65	7	SkltnClv
99	65	8	Celesta3
99	65	9	Glocken3
99	65	11	DX-Vibe2
99	65	12	DX-Mrmb2
99	65	14	MM-Bell
99	65	16	DrwOrg 2
99	65	17	PrcOrg 3
99	65	18	RckOrg 3
99	65	19	PipeOrg2
99	65	20	PufOrgn2
99	65	21	DX-Acrd3
99	65	22	BuzzHarp
99	65	24	DX-AcGt3
99	65	25	DX-PkGt3
99	65	26	DX-JzGt3
99	65	27	DX-ClGt3
99	65	28	DX-MtGt3
99	65	30	DX-DsGt2
99	65	32	DX-WdBa3
99	65	33	HarmBass
99	65	34	ChifBass
99	65	35	FrtlsBa3
99	65	36	LiteSlap
99	65	37	DrhtBass
99	65	38	DX-SyBa3
99	65	39	DX-Bass2
99	65	40	DX-Vln 3
99	65	42	DX-Celo2
99	65	46	OrchHarp
99	65	48	Brit Str
99	65	49	Low Str2
99	65	50	SmalSect
99	65	51	DX-AnSt3
99	65	52	DX-Cho 3
99	65	54	DX-Cho 8
99	65	56	DX-Trpt3
99	65	57	Mute Trb
99	65	60	MelwHrn2
99	65	61	5th Brss
99	65	62	DX-SBr 1
99	65	63	DX-SBr 7
99	65	68	Oboe 3
99	65	71	DX-Clar1
99	65	73	DX-Flt 3
99	65	74	Recordr3
99	65	75	Harvest
99	65	76	Quena
99	65	79	DX-Ocrn3
99	65	80	DX-SLd 2
99	65	81	DXSyLd 3
99	65	82	PuffPipe
99	65	83	BrsLead2
99	65	84	SweepLd
99	65	85	SnglLine
99	65	87	EadgbeLd
99	65	88	IceHeven
