MSB	PRG	LSB	NME
096	000	016	GrandPno
097	000	016	Acou.Pno
098	000	016	St.Pno 1
099	000	016	SD Piano
097	000	017	AcouPnoK
098	000	017	St.Pno1K
099	000	017	SDPianoK
097	000	018	Mild Pno
098	000	018	EuropePf
099	000	018	Class Pf
096	001	016	BritePno
097	001	016	Rock Pno
098	001	016	St.Pno 2
099	001	016	EnhPiano
097	001	017	RockPnoK
098	001	017	St.Pno2K
099	001	017	Enh.PnoK
096	002	016	EGrndPno
097	002	016	EGrdPno2
098	002	016	SA Piano
099	002	016	EnhElGrd
097	002	017	EGrPno2K
098	002	017	SAPianoK
099	002	017	EnhEGrdK
096	003	016	HnkyTonk
097	003	016	OldHonky
098	003	016	St.Honky
099	003	016	BrtHonky
097	003	017	OldHnkyK
098	003	017	StHonkyK
099	003	017	BrtHnkyK
096	004	016	ElPiano1
097	004	016	SftRhode
098	004	016	TrmRhode
099	004	016	Stage 73
097	004	017	FatRhode
098	004	017	SwtTynes
099	004	017	NY Rhode
097	004	018	Rhodes K
098	004	018	Trm.Dyno
099	004	018	Phs.Dyno
097	004	019	WurlySft
098	004	019	TrmWurly
099	004	019	Whirly
096	005	016	ElPiano2
097	005	016	FM ElPno
098	005	016	HardFMEP
099	005	016	ChorusEP
097	005	017	SoftFMEP
098	005	017	Brt.FMEP
099	005	017	Phs.FMEP
097	005	018	SA ElPno
098	005	018	BrtFMEP2
099	005	018	Wah FMEP
097	005	019	DXLegnd2
098	005	019	DXLegnd3
099	005	019	EnhLegnd
097	005	020	DXPhase2
098	005	020	DXPhase3
099	005	020	PhasinEP
096	006	016	Hrpschrd
097	006	016	Hpschrd4
098	006	016	St.Hrpsi
099	006	016	EnhHrpsi
097	006	017	Hpschrd5
098	006	017	StHrpsi3
099	006	017	EnHrpsi3
097	006	018	Hpschd4K
098	006	018	StHrpsiK
099	006	018	EnHrpsiK
097	006	019	Hpschrd6
098	006	019	StHrpsi2
099	006	019	EnHrpsi2
096	007	016	Clvichrd
097	007	016	AtkClavi
098	007	016	AtkClv 2
099	007	016	CmpClavi
097	007	017	AnlClavi
098	007	017	AnlClv 2
099	007	017	WahClavi
096	008	016	Celesta
097	008	016	Celesta2
098	008	016	StCelest
099	008	016	CelestaK
096	009	016	Golcken
097	009	016	Glocken2
098	009	016	St.Glock
099	009	016	TrmGlock
096	010	016	MusicBox
097	010	016	MusicBx2
098	010	016	StMusBox
099	010	016	Pan Box
096	011	016	
097	011	016	Vibrafn2
098	011	016	StVibrfn
099	011	016	TrmVbrfn
097	011	017	Vibrfn2K
098	011	017	StVbrfnK
099	011	017	TrmVibrK
096	012	016	
097	012	016	Marimba2
098	012	016	StMarmba
099	012	016	EnhMrmba
097	012	017	Marmba2K
098	012	017	StMrmbaK
099	012	017	EnMrmbaK
096	013	016	
097	013	016	Xylofon2
098	013	016	StXylofn
099	013	016	Enh.Xylo
096	014	016	
097	014	016	TubeBel2
098	014	016	St.Tubul
099	014	016	TrmTubul
097	014	017	ChchBel2
098	014	017	StChurch
099	014	017	EchoChch
097	014	018	Carilln2
098	014	018	StCariln
099	014	018	TrmCaril
096	015	016	
097	015	016	Santur
098	015	016	StSantur
099	015	016	EnhSantr
096	016	016	
096	017	016	
096	018	016	
097	018	016	FstRokOr
098	018	016	RockOrg2
099	018	016	RokrSpin
096	019	016	
096	020	016	
096	021	016	
096	022	016	
096	023	016	
096	024	016	
096	025	016	
096	026	016	
096	027	016	
096	028	016	
096	029	016	
096	030	016	
096	031	016	
096	032	016	
096	033	016	
096	034	016	
096	035	016	
096	036	016	
096	037	016	
096	038	016	
096	039	016	
096	040	016	
097	040	016	Violin v
098	040	016	Violn2 v
099	040	016	EnhVioln
097	040	017	SlwVln v
098	040	017	SlVln2 v
099	040	017	EnhSlVln
096	041	016	
097	041	016	Viola v
098	041	016	Viola2 v
099	041	016	EnhViola
096	042	016	
097	042	016	Cello v
098	042	016	Cello2 v
099	042	016	EnhCello
096	043	016	
097	043	016	ContrB v
098	043	016	CntrB2 v
099	043	016	EnhContr
096	044	016	
097	044	016	TremStr2
098	044	016	StTrmStr
099	044	016	StTrStr2
096	045	016	
097	045	016	PizzStr2
098	045	016	St.Pizz.
099	045	016	ChorPizz
096	046	016	
097	046	016	Harp 2
098	046	016	St. Harp
099	046	016	ChorHarp
097	046	017	YangQin2
098	046	017	StYanQin
099	046	017	EnhYngQn
096	047	016	
097	047	016	Timpani2
098	047	016	StTimpni
099	047	016	EnhTmpni
096	048	016	
097	048	016	Strings3
098	048	016	StStrngs
099	048	016	StStrng2
097	048	017	OrchStr2
098	048	017	St.OrStr
099	048	017	StOrStr2
097	048	018	Oct.Str.
098	048	018	StOctStr
