CdPt	Bitmap
002d	00000100030003000300030002000000000000000000
0030	7ef8bc74c00cc00cc00cc00cb8f47df8000000000000
0031	00000000000000000000000038f07df8000000000000
0032	00f88174c30cc30cc30cc30cba047c00000000000000
0033	00008104c30cc30cc30cc30cbaf47df8000000000000
0034	7e003d0003000300030003003af07df8000000000000
0035	7e00bd04c30cc30cc30cc30c82f401f8000000000000
0036	7ef8bd74c30cc30cc30cc30c82f401f8000000000000
0037	00008000c000c000c000c000b8f07df8000000000000
0038	7ef8bd74c30cc30cc30cc30cbaf47df8000000000000
0039	7e00bd04c30cc30cc30cc30cbaf47df8000000000000
