CP	Bitmap
20	0000000000
21	0000fa0000
22	00c000c000
23	28fe28fe28
24	2454fe5448
25	644810244c
26	6c929a640a
27	0000c00000
28	00007c8200
29	00827c0000
2a	28107c1028
2b	10107c1010
2c	000a0c0000
2d	0010101000
2e	0006060000
2f	000638c000
30	7c8a92a27c
31	0042fe0200
32	42868a9262
33	448292926c
34	182848fe08
35	f49292928c
36	7c9292924c
37	80808eb0c0
38	6c9292926c
39	649292927c
3a	006c6c0000
3b	006a6c0000
3c	0010284400
3d	0028282800
3e	0044281000
3f	0044281000
40	7c92aaaa78
41	
42	
43	
44	
45	
46	
47	
48	
49	
4a	
4b	
4c	
4d	
4e	
4f	
50	
51	
52	
53	
54	
55	
56	
57	
58	
59	
5a	
5b	0000fe8200
5c	00c0380600
5d	0082fe0000
5e	0040804000
5f	0202020202
60	0000804000
7b	00106c8200
7c	0000fe0000
7d	00826c1000
7e	1020100810
7f	fe829282fe
80	00fe442810
81	00fe7c3810
