path	binary
bankMsb	00
modulation	01
breath	02
foot	04
portamento	05
dataMsb	06
volume	07
balance	08
panpot	0a
expression	0b
generalEffect1	0c
generalEffect2	0d
generalEffect3	0e
generalEffect4	0f
generalSound1	10
generalSound2	11
generalSound3	12
generalSound4	13
bankLsb	20
dataLsb	26
sustain	40
portamentoSwitch	41
sostenuto	42
soft	43
legato	44
hold2	45
timbreVar	46
resonance	47
releaseTime	48
attackTime	49
brightness	4a
decayTime	4b
vibratoRate	4c
vibratoDepth	4d
vibratoDelay	4e
portamentoSource	54
velocityLsb	58
reverb	5b
tremolo	5c
chorus	5d
delay	5e
phaser	5f
dataStepUp	60
dataStepDown	61
nrpnLsb	62
nrpnMsb	63
rpnLsb	64
rpnMsb	65
allSoundOff	78
allCcReset	79
allNotesOff	7b
omniOff	7c
omniOn	7d
mono	7e
poly	7f
dry	80
vlBreath	81
