path	binary
envelope	01
envelope.vibratoRate	0108
envelope.vibratoDepth	0109
envelope.vibratoDelay	010a
envelope.brightness	0120
envelope.resonance	0121
envelope.hpfCutoff	0124
envelope.eqBassGain	0130
envelope.eqTrebleGain	0131
envelope.eqBassFreq	0134
envelope.eqTrebleFreq	0135
envelope.attackTime	0163
envelope.decayTime	0164
envelope.releaseTime	0166
drumBrightness	14
drumResonance	15
drumAttack	16
drumDecay	17
drumCoarseTune	18
drumFineTune	19
drumVolume	1a
drumPanpot	1c
drumReverb	1d
drumChorus	1e
drumDelay	1f
drumHpfCutoff	24
drumEqBassGain	30
drumEqTrebleGain	31
drumEqBassFreq	34
drumEqTrebleFreq	35
sd20	41
sd20.gm2Set	4100
hyperCanvas	58
hyperCanvas.charactor	5801
hyperCanvas.toneSwitch	5820
hyperCanvas.eqBassGain	5822
hyperCanvas.eqTrebleGain	5824
hyperCanvas.eqMidGain	5827
hyperCanvas.scaleTune0	5830
hyperCanvas.scaleTune1	5831
hyperCanvas.scaleTune2	5832
hyperCanvas.scaleTune3	5833
hyperCanvas.scaleTune4	5834
hyperCanvas.scaleTune5	5835
hyperCanvas.scaleTune6	5836
hyperCanvas.scaleTune7	5837
hyperCanvas.scaleTune8	5838
hyperCanvas.scaleTune9	5839
hyperCanvas.scaleTune10	583a
hyperCanvas.scaleTune11	583b
hyperCanvas.reverbSwitch	5840
hyperCanvas.reverbType	5841
hyperCanvas.reverbTime	5842
hyperCanvas.chorusSwitch	5850
hyperCanvas.chorusType	5851
hyperCanvas.chorusRate	5852
hyperCanvas.chorusDepth	5853
hyperCanvas.chorusFeedback	5854
hyperCanvas.chorusSendToReverb	5855
hyperCanvas.masterVolume	5870
hyperCanvas.masterFineTune	5871
hyperCanvas.masterCoarseTune	5872
hyperCanvas.reset	587f
