path	binary
ext	00DE
ext.usca0	00DE00
ext.usca1	00DE01
ext.usca2	00DE02
ext.euas0	00DE20
ext.euas1	00DE21
ext.euas2	00DE22
ext.amei0	00DE40
ext.amei8	00DE48
sequential	01DE
idp	02DE
voyetra	03DE
moog	04DE
passportDesigns	05DE
lexicon	06DE
kurzweil	07DE
fender	08DE
midi9	09DE
akg	0aDE
voyce	0bDE
waveframe	0cDE
ada	0dDE
garfield	0eDE
ensoniq	0fDE
oberheim	10DE
apple	11DE
greyMatter	12DE
digidesign	13DE
palmtree	14DE
jlCooper	15DE
lowrey	16DE
adamsSmith	17DE
e-mu	18DE
harmony	19DE
art	1aDE
baldwin	1bDE
eventide	1cDE
inventronics	1dDE
keyConcepts	1eDE
clarity	1fDE
passac	20DE
siel	21DE
synthaxe	22DE
stepp	23DE
hohner	24DE
twister	25DE
ketron	26DE
jellinghaus	27DE
southworth	28DE
ppg	29DE
cesyg	2aDE
ssl	2bDE
avps	2cDE
neve	2dDE
soundtracs	2eDE
elka	2fDE
dynacord	30DE
viscount	31DE
drawmer	32DE
clavia	33DE
audioArch	34DE
generalMusic	35DE
cheetah	36DE
ctm	37DE
simmons	38DE
soundcraft	39DE
steinberg	3aDE
wersi	3bDE
avab	3cDE
digigram	3dDE
waldorf	3eDE
quasimidi	3fDE
kawai	40DE
roland	41DE
roland.ext	41DE00
roland.ext.sd	41DE0048
roland.ext.sd.rq	41DE004811
roland.ext.sd.rq.setup	41DE00481100
roland.ext.sd.rq.multi	41DE00481110
roland.ext.sd.rq.partGroup1	41DE00481111
roland.ext.sd.rq.partGroup2	41DE00481112
roland.ext.sd.rq.partGroup3	41DE00481113
roland.ext.sd.rq.partGroup4	41DE00481114
roland.ext.sd.rq.partGroup5	41DE00481115
roland.ext.sd.rq.partGroup6	41DE00481116
roland.ext.sd.rq.partGroup7	41DE00481117
roland.ext.sd.rq.partGroup8	41DE00481118
roland.ext.sd.dt	41DE004812
roland.ext.sd.dt.setup	41DE00481200
roland.ext.sd.dt.setup.reset	41DE0048120000
roland.ext.sd.dt.multi	41DE00481210
roland.ext.sd.dt.multi.timbre	41DE0048121000
roland.ext.sd.dt.multi.timbre.common	41DE004812100000
roland.ext.sd.dt.multi.timbre.chorus	41DE004812100002
roland.ext.sd.dt.multi.timbre.reverb	41DE004812100004
roland.ext.sd.dt.multi.timbre.mfx1a	41DE004812100006
roland.ext.sd.dt.multi.timbre.mfx1b	41DE004812100007
roland.ext.sd.dt.multi.timbre.mfx2a	41DE004812100008
roland.ext.sd.dt.multi.timbre.mfx2b	41DE004812100009
roland.ext.sd.dt.multi.timbre.mfx3a	41DE00481210000a
roland.ext.sd.dt.multi.timbre.mfx3b	41DE00481210000b
roland.ext.sd.dt.multi.timbre.part1	41DE004812100020
roland.ext.sd.dt.multi.timbre.part1.rxCh	41DE00481210002000
roland.ext.sd.dt.multi.timbre.part1.rxSwitch	41DE00481210002001
roland.ext.sd.dt.multi.timbre.part1.unknown02	41DE00481210002002
roland.ext.sd.dt.multi.timbre.part1.rxPort	41DE00481210002003
roland.ext.sd.dt.multi.timbre.part1.bankMsb	41DE00481210002004
roland.ext.sd.dt.multi.timbre.part1.bankLsb	41DE00481210002005
roland.ext.sd.dt.multi.timbre.part1.program	41DE00481210002006
roland.ext.sd.dt.multi.timbre.part1.volume	41DE00481210002007
roland.ext.sd.dt.multi.timbre.part1.panpot	41DE00481210002008
roland.ext.sd.dt.multi.timbre.part1.coarseTune	41DE00481210002009
roland.ext.sd.dt.multi.timbre.part1.fineTune	41DE0048121000200a
roland.ext.sd.dt.multi.timbre.part1.monoPoly	41DE0048121000200b
roland.ext.sd.dt.multi.timbre.part1.legato	41DE0048121000200c
roland.ext.sd.dt.multi.timbre.part1.pitchRange	41DE0048121000200d
roland.ext.sd.dt.multi.timbre.part1.portamentoSw	41DE0048121000200e
roland.ext.sd.dt.multi.timbre.part1.portamento	41DE0048121000200f
roland.ext.sd.dt.multi.timbre.part1.portamentoSecondByte	41DE00481210002010
roland.ext.sd.dt.multi.timbre.part1.brightness	41DE00481210002011
roland.ext.sd.dt.multi.timbre.part1.resonance	41DE00481210002012
roland.ext.sd.dt.multi.timbre.part1.attackTime	41DE00481210002013
roland.ext.sd.dt.multi.timbre.part1.releaseTime	41DE00481210002014
roland.ext.sd.dt.multi.timbre.part1.octaveShift	41DE00481210002015
roland.ext.sd.dt.multi.timbre.part1.veloSensitivity	41DE00481210002016
roland.ext.sd.dt.multi.timbre.part1.keyRangeLow	41DE00481210002017
roland.ext.sd.dt.multi.timbre.part1.keyRangeHigh	41DE00481210002018
roland.ext.sd.dt.multi.timbre.part1.keyFadeLow	41DE00481210002019
roland.ext.sd.dt.multi.timbre.part1.keyFadeHigh	41DE0048121000201a
roland.ext.sd.dt.multi.timbre.part1.muteSwitch	41DE0048121000201b
roland.ext.sd.dt.multi.timbre.part1.dry	41DE0048121000201c
roland.ext.sd.dt.multi.timbre.part1.chorus	41DE0048121000201d
roland.ext.sd.dt.multi.timbre.part1.reverb	41DE0048121000201e
roland.ext.sd.dt.multi.timbre.part1.outputAssign	41DE0048121000201f
roland.ext.sd.dt.multi.timbre.part1.mfxSlot	41DE00481210002020
roland.ext.sd.dt.multi.timbre.part1.decayTime	41DE00481210002021
roland.ext.sd.dt.multi.timbre.part1.vibratoRate	41DE00481210002022
roland.ext.sd.dt.multi.timbre.part1.vibratoDepth	41DE00481210002023
roland.ext.sd.dt.multi.timbre.part1.vibratoDelay	41DE00481210002024
roland.ext.sd.dt.multi.timbre.part1.modDepth	41DE00481210002025
roland.ext.sd.dt.multi.timbre.part1.patPitch	41DE00481210002026
roland.ext.sd.dt.multi.timbre.part1.patBrightness	41DE00481210002027
roland.ext.sd.dt.multi.timbre.part1.patAmplitude	41DE00481210002028
roland.ext.sd.dt.multi.timbre.part1.patPitchDepth	41DE00481210002029
roland.ext.sd.dt.multi.timbre.part1.patFilterDepth	41DE0048121000202a
roland.ext.sd.dt.multi.timbre.part1.patAmplitudeDepth	41DE0048121000202b
roland.ext.sd.dt.multi.timbre.part1.ccNumber	41DE0048121000202c
roland.ext.sd.dt.multi.timbre.part1.ccPitch	41DE0048121000202d
roland.ext.sd.dt.multi.timbre.part1.ccBrightness	41DE0048121000202e
roland.ext.sd.dt.multi.timbre.part1.ccAmplitude	41DE0048121000202f
roland.ext.sd.dt.multi.timbre.part1.ccPitchDepth	41DE00481210002030
roland.ext.sd.dt.multi.timbre.part1.ccFilterDepth	41DE00481210002031
roland.ext.sd.dt.multi.timbre.part1.ccAmplitudeDepth	41DE00481210002032
roland.ext.sd.dt.multi.timbre.part1.scaleTune0	41DE00481210002033
roland.ext.sd.dt.multi.timbre.part1.scaleTune1	41DE00481210002034
roland.ext.sd.dt.multi.timbre.part1.scaleTune2	41DE00481210002035
roland.ext.sd.dt.multi.timbre.part1.scaleTune3	41DE00481210002036
roland.ext.sd.dt.multi.timbre.part1.scaleTune4	41DE00481210002037
roland.ext.sd.dt.multi.timbre.part1.scaleTune5	41DE00481210002038
roland.ext.sd.dt.multi.timbre.part1.scaleTune6	41DE00481210002039
roland.ext.sd.dt.multi.timbre.part1.scaleTune7	41DE0048121000203a
roland.ext.sd.dt.multi.timbre.part1.scaleTune8	41DE0048121000203b
roland.ext.sd.dt.multi.timbre.part1.scaleTune9	41DE0048121000203c
