id	name
00	bankMsb
01	modulation
02	breath
04	foot
05	portamento
06	dataMsb
07	volume
08	balance
0a	panpot
0b	expression
0c	generalEffect1
0d	generalEffect2
0e	generalEffect3
0f	generalEffect4
10	generalSound1
11	generalSound2
12	generalSound3
13	generalSound4
20	bankLsb
26	dataLsb
40	sustain
41	portamentoSwitch
42	sostenuto
43	soft
44	legato
45	hold2
46	timbreVar
47	resonance
48	releaseTime
49	attackTime
4a	brightness
4b	decayTime
4c	vibratoRate
4d	vibratoDepth
4e	vibratoDelay
54	portamentoSource
58	velocityLsb
5b	reverb
5c	tremolo
5d	chorus
5e	delay
5f	phaser
60	dataStepUp
61	dataStepDown
62	nrpnLsb
63	nrpnMsb
64	rpnLsb
65	rpnMsb
78	allSoundOff
79	allCcReset
7b	allNotesOff
7c	omniOff
7d	omniOn
7e	mono
7f	poly
80	dry
81	vlBreath
