id	name
00	ext
01	@sequential
02	@idp
03	@voyetra
04	@moog
05	@passportDesigns
06	@lexicon
07	@kurzweil
08	@fender
09	@midi9
0a	@akg
0b	@voyce
0c	@waveframe
0d	@ada
0e	@garfield
0f	@ensoniq
10	@oberheim
11	@apple
12	@greyMatter
13	@digidesign
14	@palmtree
15	@jlCooper
16	@lowrey
17	@adamsSmith
18	@e-mu
19	@harmony
1a	@art
1b	@baldwin
1c	@eventide
1d	@inventronics
1e	@keyConcepts
1f	@clarity
20	@passac
21	@siel
22	@synthaxe
23	@stepp
24	@hohner
25	@twister
26	@ketron
27	@jellinghaus
28	@southworth
29	@ppg
2a	@cesyg
2b	@ssl
2c	@avps
2d	@neve
2e	@soundtracs
2f	@elka
30	@dynacord
31	@viscount
32	@drawmer
33	@clavia
34	@audioArch
35	@generalMusic
36	@cheetah
37	@ctm
38	@simmons
39	@soundcraft
3a	@steinberg
3b	@wersi
3c	@avab
3d	@digigram
3e	@waldorf
3f	@quasimidi
40	@kawai
41	@roland
42	@korg
43	@yamaha
44	@casio
46	@kamiya
47	@akai
48	@victor
4b	@fujitsu
4c	@sony
4e	@teac
50	@matsushitaE
51	@fostex
52	@zoom
54	@matsushitaC
55	@suzuki
56	@fujiSound
57	@atl
59	@faith
5a	@internet
5c	@seekers
5f	@sdCard
7e	@unr
7f	@ur
