id	name
00	rxCh
01	rxNotes
02	unknown02
03	rxPort
04	bankMsb
05	bankLsb
06	program
07	volume
08	panpot
09	coarseTune
0a	fineTune
0b	monoPoly
0c	legato
0d	pitchRange
0e	portamentoSw
0f	portamento
10	portamentoSecondByte
11	brightness
12	resonance
13	attackTime
14	releaseTime
15	octaveShift
16	veloSenseDepth
17	keyRangeLow
18	keyRangeHigh
19	keyFadeLow
1a	keyFadeHigh
1b	mute
1c	dry
1d	chorus
1e	reverb
1f	outputAssign
20	mfxSlot
21	decayTime
22	vibratoRate
23	vibratoDepth
24	vibratoDelay
25	modDepth
26	patPitch
27	patBrightness
28	patVolume
29	patPitchDepth
2a	patFilterDepth
2b	patVolumeDepth
2c	assignedCcSlot
2d	acPitch
2e	acBrightness
2f	acVolume
30	acLfoPitch
31	acLfoFilter
32	acLfoVolume
33	scaleTune0
34	scaleTune1
35	scaleTune2
36	scaleTune3
37	scaleTune4
38	scaleTune5
39	scaleTune6
3a	scaleTune7
3b	scaleTune8
3c	scaleTune9
3d	scaleTune10
3e	scaleTune11
3f	sdGm2Set
