id	name
00	global
02	chorus
04	reverb
06	mfx1
07	mfx1Ext
08	mfx2
09	mfx2Ext
0a	mfx3
0b	mfx3Ext
20	part1
21	part2
22	part3
23	part4
24	part5
25	part6
26	part7
27	part8
28	part9
29	part10
2a	part11
2b	part12
2c	part13
2d	part14
2e	part15
2f	part16
30	part17
31	part18
32	part19
33	part20
34	part21
35	part22
36	part23
37	part24
38	part25
39	part26
3a	part27
3b	part28
3c	part29
3d	part30
3e	part31
3f	part32
40	midiCh1
41	midiCh2
42	midiCh3
43	midiCh4
44	midiCh5
45	midiCh6
46	midiCh7
47	midiCh8
48	midiCh9
49	midiCh10
4a	midiCh11
4b	midiCh12
4c	midiCh13
4d	midiCh14
4e	midiCh15
4f	midiCh16
50	midiCh17
51	midiCh18
52	midiCh19
53	midiCh20
54	midiCh21
55	midiCh22
56	midiCh23
57	midiCh24
58	midiCh25
59	midiCh26
5a	midiCh27
5b	midiCh28
5c	midiCh29
5d	midiCh30
5e	midiCh31
5f	midiCh32
