id	name
00	name
01	nameChar01
02	nameChar02
03	nameChar03
04	nameChar04
05	nameChar05
06	nameChar06
07	nameChar07
08	nameChar08
09	nameChar09
0a	nameChar10
0b	nameChar11
0c	soloPart
10	minimumOscCountPart1
11	minimumOscCountPart2
12	minimumOscCountPart3
13	minimumOscCountPart4
14	minimumOscCountPart5
15	minimumOscCountPart6
16	minimumOscCountPart7
17	minimumOscCountPart8
18	minimumOscCountPart9
19	minimumOscCountPart10
1a	minimumOscCountPart11
1b	minimumOscCountPart12
1c	minimumOscCountPart13
1d	minimumOscCountPart14
1e	minimumOscCountPart15
1f	minimumOscCountPart16
20	minimumOscCountPart17
21	minimumOscCountPart18
22	minimumOscCountPart19
23	minimumOscCountPart20
24	minimumOscCountPart21
25	minimumOscCountPart22
26	minimumOscCountPart23
27	minimumOscCountPart24
28	minimumOscCountPart25
29	minimumOscCountPart26
2a	minimumOscCountPart27
2b	minimumOscCountPart28
2c	minimumOscCountPart29
2d	minimumOscCountPart30
2e	minimumOscCountPart31
2f	minimumOscCountPart32
30	mfx1Source
31	mfx2Source
32	mfx3Source
33	chorusSource
34	reverbSource
35	mfx1CtrlCh
36	mfx1CtrlPort
37	mfx2CtrlCh
38	mfx2CtrlPort
39	mfx3CtrlCh
3a	mfx3CtrlPort
