id	name
00	type
01	dry
02	chorus
03	reverb
05	ac1Slot
06	ac1Depth
07	ac2Slot
08	ac2Depth
09	ac3Slot
0a	ac3Depth
0b	ac4Slot
0c	ac4Depth
0d	ctrlAssign1
0e	ctrlAssign2
0f	ctrlAssign3
10	ctrlAssign4
11	prm1
12	prm1Byte2
13	prm1Byte3
14	prm1Byte4
15	prm2
16	prm2Byte2
17	prm2Byte3
18	prm2Byte4
19	prm3
1a	prm3Byte2
1b	prm3Byte3
1c	prm3Byte4
1d	prm4
1e	prm4Byte2
1f	prm4Byte3
20	prm4Byte4
21	prm5
22	prm5Byte2
23	prm5Byte3
24	prm5Byte4
25	prm6
26	prm6Byte2
27	prm6Byte3
28	prm6Byte4
29	prm7
2a	prm7Byte2
2b	prm7Byte3
2c	prm7Byte4
2d	prm8
2e	prm8Byte2
2f	prm8Byte3
30	prm8Byte4
31	prm9
32	prm9Byte2
33	prm9Byte3
34	prm9Byte4
35	prm10
36	prm10Byte2
37	prm10Byte3
38	prm10Byte4
39	prm11
3a	prm11Byte2
3b	prm11Byte3
3c	prm11Byte4
3d	prm12
3e	prm12Byte2
3f	prm12Byte3
40	prm12Byte4
41	prm13
42	prm13Byte2
43	prm13Byte3
44	prm13Byte4
45	prm14
46	prm14Byte2
47	prm14Byte3
48	prm14Byte4
49	prm15
4a	prm15Byte2
4b	prm15Byte3
4c	prm15Byte4
4d	prm16
4e	prm16Byte2
4f	prm16Byte3
50	prm16Byte4
51	prm17
52	prm17Byte2
53	prm17Byte3
54	prm17Byte4
55	prm18
56	prm18Byte2
57	prm18Byte3
58	prm18Byte4
59	prm19
5a	prm19Byte2
5b	prm19Byte3
5c	prm19Byte4
5d	prm20
5e	prm20Byte2
5f	prm20Byte3
60	prm20Byte4
61	prm21
62	prm21Byte2
63	prm21Byte3
64	prm21Byte4
65	prm22
66	prm22Byte2
67	prm22Byte3
68	prm22Byte4
69	prm23
6a	prm23Byte2
6b	prm23Byte3
6c	prm23Byte4
6d	prm24
6e	prm24Byte2
6f	prm24Byte3
70	prm24Byte4
71	prm25
72	prm25Byte2
73	prm25Byte3
74	prm25Byte4
75	prm26
76	prm26Byte2
77	prm26Byte3
78	prm26Byte4
79	prm27
7a	prm27Byte2
7b	prm27Byte3
7c	prm27Byte4
7d	prm28
7e	prm28Byte2
7f	prm28Byte3
