id	name
00	master
01	efx
02	eq
03	ins
10	part10a
11	part1a
12	part2a
13	part3a
14	part4a
15	part5a
16	part6a
17	part7a
18	part8a
19	part9a
1a	part11a
1b	part12a
1c	part13a
1d	part14a
1e	part15a
1f	part16a
20	part10b
21	part1b
22	part2b
23	part3b
24	part4b
25	part5b
26	part6b
27	part7b
28	part8b
29	part9b
2a	part11b
2b	part12b
2c	part13b
2d	part14b
2e	part15b
2f	part16b
40	part10d
41	part1d
42	part2d
43	part3d
44	part4d
45	part5d
46	part6d
47	part7d
48	part8d
49	part9d
4a	part11d
4b	part12d
4c	part13d
4d	part14d
4e	part15d
4f	part16d
