id	name
00	name
01	nameChar01
02	nameChar02
03	nameChar03
04	nameChar04
05	nameChar05
06	nameChar06
07	nameChar07
08	nameChar08
09	nameChar09
0a	nameChar10
0b	nameChar11
0c	nameChar12
0d	nameChar13
0e	nameChar14
0f	nameChar15
10	minimumOscCount
11	minimumOscCountPart1
12	minimumOscCountPart2
13	minimumOscCountPart3
14	minimumOscCountPart4
15	minimumOscCountPart5
16	minimumOscCountPart6
17	minimumOscCountPart7
18	minimumOscCountPart8
19	minimumOscCountPart9
1a	minimumOscCountPart11
1b	minimumOscCountPart12
1c	minimumOscCountPart13
1d	minimumOscCountPart14
1e	minimumOscCountPart15
1f	minimumOscCountPart16
30	reverbType
31	reverbCategory
32	reverbLpfCutoff
33	reverbLevel
34	reverbTime
35	reverbFeedback
37	reverbPreDelay
38	chorusType
39	chorusLpfCutoff
3a	chorusLevel
3b	chorusFeedback
3c	chorusDelay
3d	chorusFreq
3e	chorusDepth
3f	chorusSendToReverb
40	chorusSendToDelay
50	delayType
51	delayLpfCutoff
52	delayTimeC
53	delayTimeRatioL
54	delayTimeRatioR
55	delayLevelC
56	delayLevelL
57	delayLevelR
58	delayLevel
59	delayFeedback
5a	delaySendToReverb
