id	name
00	voice
01	program
02	rxCh
03	rxPitch
04	rxPAt
05	rxProgram
06	rxCc
07	rxNAt
08	rxNotes
09	rxRpn
0a	rxNrpn
0b	rxModulation
0c	rxVolume
0d	rxPanpot
0e	rxExpression
0f	rxSustain
10	rxPortamento
11	rxSostenuto
12	rxSoft
13	monoPoly
14	repeatAssign
15	type
16	coarseTune
17	detune
18	detuneLsb
19	volume
1a	veloSenseDepth
1b	veloSenseOffset
1c	panpot
1d	keyRangeLow
1e	keyRangeHigh
1f	assignedCcSlot1
20	assignedCcSlot2
21	chorus
22	reverb
23	rxBankMsb
24	rxBankLsb
2a	fineTune
2b	fineTuneLsb
2c	delay
30	vibratoRate
31	vibratoDepth
32	brightness
33	resonance
34	attackTime
35	decayTime
36	releaseTime
37	vibratoDelay
40	scaleTune0
41	scaleTune1
42	scaleTune2
43	scaleTune3
44	scaleTune4
45	scaleTune5
46	scaleTune6
47	scaleTune7
48	scaleTune8
49	scaleTune9
4a	scaleTune10
4b	scaleTune11
