id	name
00	modPitch
01	modFilter
02	modVolume
03	modLfoRate
04	modLfoPitch
05	modLfoFilter
06	modLfoVolume
07	modLfo2Rate
08	modLfo2Pitch
09	modLfo2Filter
0a	modLfo2Volume
10	pitchRange
11	pitchFilter
12	pitchVolume
13	pitchLfoRate
14	pitchLfoPitch
15	pitchLfoFilter
16	pitchLfoVolume
17	pitchLfo2Rate
18	pitchLfo2Pitch
19	pitchLfo2Filter
1a	pitchLfo2Volume
20	catPitch
21	catFilter
22	catVolume
23	catLfoRate
24	catLfoPitch
25	catLfoFilter
26	catLfoVolume
27	catLfo2Rate
28	catLfo2Pitch
29	catLfo2Filter
2a	catLfo2Volume
30	natPitch
31	natFilter
32	natVolume
33	natLfoRate
34	natLfoPitch
35	natLfoFilter
36	natLfoVolume
37	natLfo2Rate
38	natLfo2Pitch
39	natLfo2Filter
3a	natLfo2Volume
40	ac1Pitch
41	ac1Filter
42	ac1Volume
43	ac1LfoRate
44	ac1LfoPitch
45	ac1LfoFilter
46	ac1LfoVolume
47	ac1Lfo2Rate
48	ac1Lfo2Pitch
49	ac1Lfo2Filter
4a	ac1Lfo2Volume
50	ac2Pitch
51	ac2Filter
52	ac2Volume
53	ac2LfoRate
54	ac2LfoPitch
55	ac2LfoFilter
56	ac2LfoVolume
57	ac2Lfo2Rate
58	ac2Lfo2Pitch
59	ac2Lfo2Filter
5a	ac2Lfo2Volume
