id	name
00	reverbType
01	reverbTypeLsb
02	reverbTime
03	reverbDiffusion
04	reverbPreDelay
05	reverbHpfCutoff
06	reverbLpfCutoff
07	reverbWidth
08	reverbHeight
09	reverbDepth
0a	reverbWallVar
0b	reverbDryWetRatio
0c	reverbLevel
0d	reverbPanpot
10	reverbDelay
11	reverbDensity
12	reverbERRevRatio
13	reverbHighDamp
14	reverbFeedback
15	reverbPrm16Unused
20	chorusType
21	chorusTypeLsb
22	chorusFreq
23	chorusDepth
24	chorusPrm3
25	chorusPrm4
26	chorusPrm5Unused
27	chorusLowFreq
28	chorusLowGain
29	chorusHighFreq
2a	chorusHighGain
2b	chorusDryWetRatio
2c	chorusLevel
2d	chorusPanpot
2e	chorusSendToReverb
30	chorusPrm11
31	chorusPrm12
32	chorusPrm13
33	chorusPrm14
34	chorusInputMode
35	chorusPrm16Unused
40	mfxType
41	mfxTypeLsb
42	mfxPrm1
43	mfxPrm1Lsb
44	mfxPrm2
45	mfxPrm2Lsb
46	mfxPrm3
47	mfxPrm3Lsb
48	mfxPrm4
49	mfxPrm4Lsb
4a	mfxPrm5
4b	mfxPrm5Lsb
4c	mfxPrm6
4d	mfxPrm6Lsb
4e	mfxPrm7
4f	mfxPrm7Lsb
50	mfxPrm8
51	mfxPrm8Lsb
52	mfxPrm9
53	mfxPrm9Lsb
54	mfxPrm10
55	mfxPrm10Lsb
56	mfxLevel
57	mfxPanpot
58	mfxSendToReverb
59	mfxSendToChorus
5a	mfxSource
5b	mfxPart
5c	mfxModDepth
5d	mfxPitchDepth
5e	mfxPAtDepth
5f	mfxAc1Depth
60	mfxAc2Depth
70	mfxPrm11
71	mfxPrm12
72	mfxPrm13
73	mfxPrm14
74	mfxPrm15
75	mfxPrm16
