id	name
00	type
01	typeLsb
02	prm1
03	prm2
04	prm3
05	prm4
06	prm5
07	prm6
08	prm7
09	prm8
0a	prm9
0b	prm10
0c	fromPart
0d	modDepth
0e	pitchDepth
0f	patDepth
10	ac1Depth
11	ac2Depth
20	prm11
21	prm12
22	prm13
23	prm14
24	prm15
25	prm16
30	widePrm1
31	widePrm1Lsb
32	widePrm2
33	widePrm2Lsb
34	widePrm3
35	widePrm3Lsb
36	widePrm4
37	widePrm4Lsb
38	widePrm5
39	widePrm5Lsb
3a	widePrm6
3b	widePrm6Lsb
3c	widePrm7
3d	widePrm7Lsb
3e	widePrm8
3f	widePrm8Lsb
40	widePrm9
41	widePrm9Lsb
42	widePrm10
43	widePrm10Lsb
