id	name
00	minimumOscCount
01	bankMsb
02	bankLsb
03	program
04	rxCh
05	poly
06	repeatAssign
07	type
08	coarseTune
09	detune
0a	detuneLsb
0b	volume
0c	veloSenseDepth
0d	veloSenseOffset
0e	panpot
0f	keyRangeLow
10	keyRangeHigh
11	dry
12	chorus
13	reverb
14	delay
15	vibratoRate
16	vibratoDepth
17	vibratoDelay
18	brightness
19	resonance
1a	attackTime
1b	decayTime
1c	releaseTime
1d	modPitch
1e	modFilter
1f	modVolume
20	modLfoPitch
21	modLfoFilter
22	modLfoVolume
23	pitchRange
24	pitchFilter
25	pitchVolume
26	pitchLfoPitch
27	pitchLfoFilter
28	pitchLfoVolume
30	rxPitch
31	rxPAt
32	rxProgram
33	rxCc
34	rxNAt
35	rxNotes
36	rxRpn
37	rxNrpn
38	rxModulation
39	rxVolume
3a	rxPanpot
3b	rxExpression
3c	rxSustain
3d	rxPortamento
3e	rxSostenuto
3f	rxSoft
40	rxBank
41	scaleTune0
42	scaleTune1
43	scaleTune2
44	scaleTune3
45	scaleTune4
46	scaleTune5
47	scaleTune6
48	scaleTune7
49	scaleTune8
4a	scaleTune9
4b	scaleTune10
4c	scaleTune11
4d	patPitch
4e	patFilter
4f	patVolume
50	patLfoPitch
51	patLfoFilter
52	patLfoVolume
53	natPitch
54	natFilter
55	natVolume
56	natLfoPitch
57	natLfoFilter
58	natLfoVolume
59	assignedCcSlot1
5a	ac1Pitch
5b	ac1Filter
5c	ac1Volume
5d	ac1LfoPitch
5e	ac1LfoFilter
5f	ac1LfoVolume
60	assignedCcSlot2
61	ac2Pitch
62	ac2Filter
63	ac2Volume
64	ac2LfoPitch
65	ac2LfoFilter
66	ac2LfoVolume
67	portamentoSwitch
68	portamento
69	unfinalisedPitchEnvGenInitLevel
6a	unfinalisedPitchEnvGenAttackTime
6b	unfinalisedPitchEnvGenReleaseLevel
6c	unfinalisedPitchEnvGenReleaseTime
6d	veloRangeLow
6e	veloRangeHigh
72	eqBassGain
73	eqTrebleGain
76	eqBassFreq
77	eqTrebleFreq
