id	name
00	ch1
01	ch2
02	ch3
03	ch4
04	ch5
05	ch6
06	ch7
07	ch8
08	ch9
09	ch10
0a	ch11
0b	ch12
0c	ch13
0d	ch14
0e	ch15
0f	ch16
10	ch17
11	ch18
12	ch19
13	ch20
14	ch21
15	ch22
16	ch23
17	ch24
18	ch25
19	ch26
1a	ch27
1b	ch28
1c	ch29
1d	ch30
1e	ch31
1f	ch32
20	ch33
21	ch34
22	ch35
23	ch36
24	ch37
25	ch38
26	ch39
27	ch40
28	ch41
29	ch42
2a	ch43
2b	ch44
2c	ch45
2d	ch46
2e	ch47
2f	ch48
30	ch49
31	ch50
32	ch51
33	ch52
34	ch53
35	ch54
36	ch55
37	ch56
38	ch57
39	ch58
3a	ch59
3b	ch60
3c	ch61
3d	ch62
3e	ch63
3f	ch64
7f	none
