ID	Name
2600Sine	2600 Sine
303SqDs2	303SqrDst2
AsianKit	Asian Kit
AudioSwi	AudioSwtch
BrasFall	Brass Fall
CarStar2	Car Start2
CarTyreS	CarTyreScr
DigiBell	Digi Bells
EthnicKt	Ethnic Kit
HeartBas	Heart Bass
JetPlane	Jet Plane
LoFiRave	Lo-Fi Rave
LPOvrDr2	LPOverDrv2
MelChoir	MelloChoir
MGBlipBa	MG Blip Bs
MidT.Gtr	MidToneGtr
OrchStr2	Orchestra2
PhonNoiz	PhonoNoise
RailCros	Rail Cross
Sax Sect	Sax Sect.
SineWave	Sine Wave
SlwTrStr	SlowTrmStr
SynBa101	SynthBs101
TrainHrn	Train Horn
TrainPas	Train Pass
VxComeOn	Vx Come On
White Nz	WhiteNoise
