ID	Name
Standard	STANDARD
Standrd2	STANDARD 2
StdrdL/R	STANDARD L/R
Room Kit	ROOM
HipHopKt	HIP HOP
JungleKt	JUNGLE
TechnoKt	TECHNO
Room L/R	ROOM L/R
HouseKit	HOUSE
PowerKit	POWER
ElectrKt	ELECTRONIC
AnalogKt	ANALOG
DanceKit	DANCE
CR-78 Kt	CR-78
TR-606Kt	TR-606
TR-707Kt	TR-707
AnalgKt2	ANALOG 2
Jazz Kit	JAZZ
Jazz L/R	JAZZ L/R
BrushKit	BRUSH
BrushKt2	BRUSH 2
Brush2LR	BRUSH 2 L/R
Orch.Kit	ORCHESTRA
EthnicKt	ETHNIC
KikSnare	KICK & SNARE
KkSnare2	KICK SNARE 2
AsianKit	ASIA
CymbalKt	CYMBAL&CLAPS
GamelnKt	GAMELAN
GamlnKt2	GAMELAN 2
SFX Kit	SFX
RyFX Kit	RHYTHM FX
RyFX2 Kt	RHYTHM FX 2
RyFX3 Kt	RHYTHM FX 3
SFX Kt 2	SFX 2
VoiceKit	VOICE
CymblKt2	CYMBL&CLAP 2
