ID	Name
BrtPiano	Bright Piano
HammrPno	Hammer Piano
Digi.Pno	DigitalPiano
ChrchPpe	Church Pipe
ClassGtr	Classic Gtr
Acou.Gtr	Acou. Guitar
Jazz Gtr	Jazz Guitar
MuteGtr.	Mute Guitar
Dst.Gtr.	Dist Guitar
RockHrmo	RockHarmonix
SlpBass1	Slap Bass 1
SlpBass2	Slap Bass 2
Slow Str	Slow Strings
BasnOboe	Bassoon Oboe
SquareWv	Square Wave
SyCaliop	SynthCaliope
SynChiff	SynthChiffer
SyCharan	SynthCharang
Rezzo4th	Rezzo 4ths
BowGlass	Bowed Glass
SndTrack	Sound Track
Acou.Tom	Acoustic Tom
NoizChif	Noise Chiff
AltoBrth	Alto Breath
TinyDncr	Tiny Dancer
SpruceGt	Spruce Gtr.
VibrBell	Vibrant Bell
TheStrs.	The Strings
PowerSyn	Power Synth
MchinAge	Machine Age
Lite Vox	Light Voices
GlideSwp	Glide Sweep
MagicFlu	Magic Flute
ElectrGt	Elec Guitars
Digi.Air	Digital Air
MndoTrem	MandoTremolo
GospelOr	Gospel Organ
ChambrEn	ChamberEnsem
PnoHaven	Piano Heaven
Cln Funk	CleanFunkGtr
OrchPerc	Orch. Perc.
DreamWld	Dream World
HrpsiFnk	Harpsi Funk
FlugelHr	Flugel Horn
Elec.Tap	Electro Tap
TechnoBa	Techno Bass
Lead Gtr	Lead Guitar
PoppinPd	Poppin' Pad
Prod.Kit	Producer Kit
In Trees	In The Trees
SantaClv	Santa Clavi.
Sforz<Br	Sforz< Brass
PdlSteel	Pedal Steel
House Ba	House Bass 1
Ambi.Vox	AmbientVoice
EtherBel	Ether Bells
BassHrmo	Bass/Harmonx
50sSciFi	50's Sci-Fi
SteamCld	Steam Cloud
BrightBr	Bright Brass
JoyStick	Joy Stick Up
WavCycle	Wave Cycles
Elastik	Elastik Pad
ExprssPF	Expresso PF
PerkySax	Perky Saxes
CrFadeEP	Crossfade EP
JewelBox	Jewelry Box
WoodnYou	Wooden You?
SymphoBr	SymphonicBrs
ShmiMlet	Shami Mallet
RthmJunk	Rhythm Junk
BelShwer	Bell Shower
TmbFlute	Tambo Flute
PanMllet	Pan Mallet
SteamBrs	Steam Brass
PrieDawn	Prarie Dawn
RotaryOr	Rotary Organ
Horn Ens	HornEnsemble
