ID	Name
YamaEP's	Yamaha EPs
Vintg'74	Vintage'74
Dave's B	Dave'sBOrg
ElegantS	Elegant S7
Bright S	BrightS700
Dark S	Dark S700
Intimate	IntimateS7
Mono S	Mono S700
FulGrand	Full Grand
Ragtime	RagtmHkyTk
Agresive	Aggressive
HousePno	HousePiano
OldBlues	Old Blues
1968 Pno	1968 Piano
MonoComp	Mono Comp
78rpmPno	78rpmPiano
BaladKey	Ballad Key
80sLayer	80's Layer
BladStak	BalladStak
Pno Back	Piano Back
Pno&Str	Piano&Strs
Pno&Ooh	Piano&Oohs
Digi.Grd	Digi.Grand
HardCP80	Hard CP80
CP80&EP	CP80 & EPno
DynoStrt	DynoStrait
ChrsDyno	ChorusDyno
ChrsHard	ChorusHard
80th Bst	80th Boost
R&B Soft	
HrdVintg	HrdVintage
PhaseVin	Phaser Vin
SoftCase	Soft Case
Early70s	Early 70's
Sweetnes	Sweetness
VintgFas	PhasedVntg
EarlyFsn	Early Fusn
VintgCas	CasedVintg
Contempo	ContempoEP
Mr.Klank	Mr. Klank
E.PnoPad	E.PianoPad
BelChors	BellChorus
FM E.Pno	FM E.Piano
BalladEP	Ballad EP.
SparkTne	SparkleTne
Anal.Pno	Analog Pno
Anal.EP	Analog EP.
WurlTrem	Trem.Wurli
WurliAmp	AmpedWurli
VintgClv	VintageClv
SuperClv	SuperClavi
St.Clavi	StereoClav
HollwClv	HollowClav
NuPhasin	NewPhasing
PulseClv	PulseClavi
TouchClv	TouchClavi
Marimbl1	Marimbell1
Marimbl2	Marimbell2
Kalimbel	Kalimbell
Tibetan	TibetanBel
HandBell	Hand Bells
VbrBowMW	BowedVbrMW
MetlFish	Metal Fish
BazrBels	BazaarBels
MstcBowl	MysticBowl
Twinkle	TwinkleBel
StickBel	Stick Bell
IceBells	Ice Bells
ChorsBel	ChorusBell
StackBel	Stack Bell
BelChiff	Bell Chiff
NiceBell	Nice Bells
NoisyBel	NoisyBells
SakoBell	Sako Bells
J-Pop	J-Pop Bell
SynStlDr	SynStlDrum
ToyPiano	Toy Piano
WoodBell	Wood Bells
IslndBel	IslandBell
Log&Drum	Log & Drum
TmpBlGlk	Tmp/Bl/Glk
VelOrPrc	VeloPercOr
PetitOrg	PetitOrgan
Imprompt	Impromptu
MixtureO	MixtureOrg
St. Paul	St.PaulOrg
FlutyPpe	FluteyPipe
St.Peter	St.PeterOr
CleanOrg	CleanOrgan
ReedSplt	Split Reed
TradiOrg	TradiOrgan
SundayOr	Sunday Org
BrthPipe	BreathPipe
ReedPipe	Reed Pipes
Medieval	MedievalOr
PreludeO	PreludeOrg
OohPipes	Ooh Pipes
GreenTea	Green Tea
BassWalk	Bass Walk
AmpedOrg	AmpedOrgan
VintageC	Vintage C.
2nd Perc	
1685&13	
JazzyOr1	
JazzyOr2	
GlassyOr	
GreasyOr	Greasy Or.
SwishieO	
Ful/Cvib	
MellowPp	
Nu Shade	
Cool Cat	
FluteyOr	
LeftMnl.	
DrawCtrl	
GospSplt	
SoulemnO	
FullyOrg	
Progress	
CrunchyO	
RockyOrg	
DistFull	
EarlyBrd	
AnaDrwOr	
TinyOrgn	
PaddyOrg	
MellowOr	
RezDrwOr	
OrganPad	
PantherO	
SawCombo	
1967Keys	
CompactO	
Espa.Gtr	
Nyln+Hrm	
SimpStlG	
StlCmprG	
MuteSliG	
Ac&HrmGt	
StlSwtch	
JazzyPik	
JazGtMel	
VeloJazz	
DistantG	
Dyna.Amp	
DriveGtr	
SnekFngr	
Feedbker	
KilrWhmy	
Vuduman	
CrunchyG	
SmallAmp	
LatnLuvr	
StillBlu	
MegaAcBs	
FngrPkBs	
PrecFW	
RndWound	
ActivePk	
PkBsFgDs	
FuzzBass	
MegaFgHm	
VeloBass	
SlpSwtch	
MegaFngr	
MegaSlap	
PickOpen	
PickPull	
PkMuteDr	
NewPikBs	
MegaPkBs	
FrtlsDry	
FrtlSolo	
MegaFrtl	
SoloStr1	
SoloStr2	
SolSpict	
2Violins	
Cel.Duet	
2SoloStr	
CelloEns	
ViolaEns	
ViolnEns	
CtrbSect	
SmolSec1	
SmolSec2	
MediumEn	
ViolnMix	
SpicLine	
Hard Bow	HardBowStr
BkGround	
Hole Str	
Ens Mix	EnsemblMix
Hard Ens	HardEnsmbl
Velo Str	
Big Strs	
BeautyHp	
Ste.Harp	
