ID	Name
AfroCuba	AfroCubanKit
AfrCuba2	AfroCubanKt2
Anal.Kt2	Analog Kit 2
BasClari	BassClarinet
BrazilKt	BrazillianKt
BrilTrmb	BrillintTrmb
Bril Trp	BrilliantTrp
BriteTrp	BriteTrumpet
BrtBsTrb	BrtBassTromb
BrtFrHrn	BrightFrHorn
BrtTromb	Brt Trombone
Brush&P.	LvBrush&Perc
BrushKt2	Brush Kit 2
CellSect	Cello Sect.
ClkGspOr	ClikGospelOr
ContrSec	Contr. Sect.
Dark Trp	Dark Trumpet
DarkRoom	Dark Room Kt
DblConGr	DoublConGrnd
DetDrwOr	Det.DrawOrgn
Det.EP 8	Detuned EP 8
ElectrKt	Electro Kit
F-Coquet	Fem-Coquette
FakeAlto	Fake Alto Sx
FlangrBa	Flanger Bass
FrHrSolo	Fr.Horn Solo
FstRotar	FastRotaryOr
FunkGtr2	Funk Guitar2
FunkPerc	LvFunkPercKt
HardPick	HardPickBass
HipHopKt	Hip Hop Kit
HollowSq	Hollow Sqr.
LgtAltSx	Lgt.Alto Sax
Lv Brush	LiveBrushKit
Lv StdKt	LiveStdrdKit
LvFunkKt	LiveFunk Kit
MelloTrb	Mellow Tromb
NasalGtr	Nasal Guitar
NeatBrth	Neat Breathy
NekRough	NeckRoughcst
NormlTrp	Normal Trmpt
Ntrl Kit	Natural Kit
NtrlFunk	Ntrl Funk Kt
OctPlate	Octave Plate
OvdrGtDt	OvrdrvGtrDet
PerigeKt	Perigee Kit
PickBas2	Picked Bass2
PolyPd80	Poly Pad 80
PopLatin	Pop Latin Kt
Pwr.Fret	PowerFretles
RezChase	Reso. Chase
S. Latin	Small Latin
SlCelloS	SlowCelloSec
SlContrS	SlowContrSec
SlVlaSec	SlowViolaSec
SlVlnSec	SlowViolnSec
SmthSynB	SmoothSynBas
Soft Trp	Soft Trumpet
StBrsSec	St.BrassSect
Std&Perc	LiveStd&Perc
StSlwStr	St.Slow Str.
SupClavi	Super Clavi.
SuperTnr	Super Tenor
SweetTrp	SweetTrumpet
SwellStr	SwellStrings
SymphBrs	Symph. Brass
SymphnKt	Symphony Kit
TalkinBa	Talking Bass
TechnoHi	Techno Kit H
TechnoLo	Techno Kit L
Tenor&Tp	Tenor&Trmpt
TenrSax2	Tenor Sax 2
ViolaSec	Viola Sect.
ViolinSc	Violin Sect.
